Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2008-06-09,13.812564849853516,14.112897931318704,13.503815077739997,14.064864585025797,212324874
2008-06-10,13.720955848693848,13.836087606589356,13.537983364663686,13.606813843562977,146844353
2008-06-11,13.498862266540527,13.799442780513553,13.480540464288417,13.772207515321655,153087667
2008-06-12,13.69074821472168,13.815783177411788,13.540457494069784,13.587006207129988,220487355
2008-06-13,14.150284767150879,14.254026783616798,13.898480856968561,13.902194325902444,248303226
2008-06-16,14.182472229003906,14.338208494828013,14.026240138772561,14.026240138772561,142243171
2008-06-17,14.099528312683105,14.312708173380116,14.072787922265698,14.27012130966529,139035192
2008-06-18,13.924229621887207,14.087889591133395,13.84450428380137,13.976967134308147,135754943
2008-06-19,13.870254516601562,13.958894268712925,13.63776311604457,13.750172102416943,228176066
2008-06-20,13.529316902160645,13.790529144179086,13.481779381785183,13.790529144179086,240221045
2008-06-23,13.49911117553711,13.695701296159164,13.42012814499066,13.502824644552984,145981130
2008-06-24,13.4270601272583,13.647172028268583,13.248791823238623,13.497377127335112,187604562
2008-06-25,13.642468452453613,13.810832600450208,13.460980600119454,13.493168421377058,165506041
2008-06-26,13.093302726745605,13.492177828682445,13.07943765577294,13.471628134432633,227228528
2008-06-27,13.074732780456543,13.122519637236541,12.753355123956021,13.065077950685335,218716743
2008-06-30,13.033879280090332,13.320593771270625,12.950687908510352,13.183675132648894,151176531
2008-07-01,13.239631652832031,13.288903138043176,12.800645965518095,12.86452578436309,199139637
2008-07-02,13.04923152923584,13.379522650265173,13.024967417478392,13.283703394211521,169553154
2008-07-03,13.295836448669434,13.351050243860707,13.060621320174903,13.144307572628875,96379907
2008-07-07,13.466923713684082,13.592948437115341,13.261171752519257,13.427060568836811,170845981
2008-07-08,13.72986888885498,13.746210237397582,13.37011367881224,13.51842205857432,198035514
2008-07-09,13.408490180969238,13.758342172376715,13.388186977550566,13.636524847942697,166782808
2008-07-10,13.384225845336914,13.605328447355127,13.140345658469613,13.49391111272579,173917451
2008-07-11,13.216604232788086,13.357733111745176,12.860810881142811,13.283455203470448,200002860
2008-07-14,12.915035247802734,13.371599469393155,12.762269186142438,13.345353956817034,177655409
2008-07-15,12.778114318847656,13.060620461486957,12.4069693735024,12.782818488382794,243750224
2008-07-16,13.2611722946167,13.283455952767804,12.64218526656258,12.727358043927115,190398997
2008-07-17,13.207691192626953,13.297073261244538,12.986342089807696,13.225519066751684,352813493
2008-07-18,11.917228698730469,12.354480444358758,11.839731243202193,12.338882357187597,453389067
2008-07-21,11.607240676879883,11.985812591780487,11.53048553659379,11.906334683246307,236944811
2008-07-22,11.812990188598633,11.89073507172051,11.528007780528464,11.55573886820739,188363396
2008-07-23,12.112826347351074,12.311149459912642,11.837500666961766,11.924407397724837,196497772
2008-07-24,11.776098251342773,12.302237124620197,11.776098251342773,12.298027831610497,142166886
2008-07-25,12.181163787841797,12.209637191833146,11.92168455943945,12.045233952845475,127817302
2008-07-28,11.813238143920898,12.1838872649059,11.763966660828254,12.1838872649059,126873778
2008-07-29,11.961548805236816,12.064300128032531,11.835028245889852,11.867214173654489,112532223
2008-07-30,11.951395988464355,12.033597607174586,11.70652414764964,12.020723237376474,140151360
2008-07-31,11.729798316955566,11.906581044968874,11.67260407225226,11.749854081955789,115033564
2008-08-01,11.583965301513672,11.716676551853814,11.451255947251687,11.699097063229623,120766974
2008-08-04,11.463634490966797,11.711476534432718,11.43639922659107,11.590402473815058,99852875
2008-08-05,11.880831718444824,11.886526588878004,11.546082930285355,11.577280998574862,143917423
2008-08-06,12.041520118713379,12.126445451741631,11.699096018611343,11.84418675027737,135538133
2008-08-07,11.862757682800293,11.983584312054646,11.79565927079152,11.934064440164933,111367875
2008-08-08,12.256185531616211,12.274508282652246,11.777832511850937,11.888260102303539,150132633
2008-08-11,12.400530815124512,12.599597178903224,12.176209643130132,12.193294252119005,170207597
2008-08-12,12.444356918334961,12.531511096714732,12.330216808250103,12.42925370814723,110641162
2008-08-13,12.380476951599121,12.467381788019628,12.228205776146917,12.419349393539056,145563571
2008-08-14,12.515665054321289,12.568155134493379,12.287877806626655,12.322789346033474,117181585
2008-08-15,12.631043434143066,12.643671313970978,12.515911678733051,12.55280366939547,142359606
2008-08-18,12.337644577026367,12.627329284046379,12.268564763889524,12.623368376911559,133855851
2008-08-19,12.144519805908203,12.3371480566734,12.048700556879782,12.142785842590605,122316761
2008-08-20,12.008342742919922,12.297780948425112,11.948177343296022,12.249004341415523,159881036
2008-08-21,12.046224594116211,12.129664352160793,11.866470708169805,11.956842527510128,141090868
2008-08-22,12.146747589111328,12.252965876902204,12.119264886998067,12.16927868361006,92232419
2008-08-25,11.95907211303711,12.305457150451517,11.921685244012627,12.035827252756148,80874004
2008-08-26,11.739950180053711,11.970212741105744,11.65155786603911,11.970212741105744,132823998
2008-08-27,11.601792335510254,11.756538846925794,11.509191677234563,11.729302634226643,176141757
2008-08-28,11.730542182922363,11.796648945645153,11.645121968741254,11.698601799401734,121642242
2008-08-29,11.47081470489502,11.661958339868294,11.447046417659552,11.630761218570479,154504960
2008-09-02,11.519343376159668,11.938521671791143,11.424514825411775,11.804572290992942,245376296
2008-09-03,11.498544692993164,11.74316910405015,11.3789571516822,11.60550625029262,173230887
2008-09-04,11.148197174072266,11.469575728602994,11.126904220132921,11.38935457203846,194666935
2008-09-05,10.999395370483398,11.20267010814292,10.89614728333372,11.030096666582411,182051827
2008-09-08,10.39773941040039,11.214553721975419,10.33831632400068,11.191775188201873,362068052
